Name	Set	Imagefile	Number	Type	Affiliation	Offense	Cost	Ilustrador	Skills	Bloque	Edicion	Rework
Sir Persival	coleccion_racial_2021_caballero	1	1	Aliado	Caballero	2	3	WALDO RETAMALES	Cuando Sir Persival entra en juego, baraja un Aliado oponente.	Primer Bloque	Espada Sagrada	
Duque Godofredo	coleccion_racial_2021_caballero	2	2	Aliado	Caballero	2	2	MAURICIO HERRERA	Mientras Duque Godofredo esté en juego, todos tus caballeros ganan + I a la fuerza.	Primer Bloque	Espada Sagrada	
Felipe II	coleccion_racial_2021_caballero	3	3	Aliado	Caballero	2	4	MAURICIO HERRERA	Cada vez que Felipe II entre o salga del juego, destruye una carta Oro oponente (Carta Única).	Primer Bloque	Espada Sagrada	
Sir Bedivere	coleccion_racial_2021_caballero	4	4	Aliado	Caballero	2	4	GABRIEL RODRÍGUEZ	Mientras Sir Bedivere esté en juego, en tu fase de vigilia y una vez por turno, puedes nombrar un Aliado, si tu oponente lo tiene en su mano, lo bajas a tu línea de defensa sin pagar su coste. Se considera uno de tus Aliados hasta el final del juego.	Primer Bloque	Espada Sagrada	
Guardia Real	coleccion_racial_2021_caballero	5	5	Aliado	Caballero	3	2	JUAN VÁSQUEZ	Guardia Real debe atacar al entrar en juego en todos tus turnos. Si algún turno no ataca, debe ser destruido.	Primer Bloque	Espada Sagrada	
Reina Guinivere	coleccion_racial_2021_caballero	6	6	Aliado	Caballero	2	4	ANDRÉS SILVA	Cuando Reina Guinivere entra en juego, puedes buscar un Caballero en tu mazo castillo y ponerlo en tu mano. En tu fase de vigilia, genera 2 para bajar armas o 1 para bajar Caballeros.	Primer Bloque	Espada Sagrada	
Rey Arturo Pendragon	coleccion_racial_2021_caballero	7	7	Aliado	Caballero	2	5	WALDO RETAMALES	Solo puedes tener en juego a un Rey Arturo Pendragón. Mientras esté en juego, tus Caballeros ganan + 1 a la fuerza y tu oponente bota 2 cartas en cada fase de agrupación. En respuesta a que sea destruido, puedes descartar 2 para salvarlo.	Primer Bloque	Espada Sagrada	
Curandera	coleccion_racial_2021_caballero	8	8	Aliado	Caballero	1	3	VENUS ASTUDILLO	Mientras Curandera esté en juego, tus cartas reducen en 1 su coste.	Primer Bloque	Espada Sagrada	
Sir Boores	coleccion_racial_2021_caballero	9	9	Aliado	Caballero	2	5	GABRIEL RODRÍGUEZ	Tus Caballeros ganan + 2 a la fuerza, mientras Sir Boores esté en juego.	Primer Bloque	Espada Sagrada	
Sir Balin	coleccion_racial_2021_caballero	10	10	Aliado	Caballero	4	3	CHRISTIAN AGUIRRE	No tiene límite de armas. esté Aliado sólo puede atacar si controlas una o más armas. Si hace Daño al mazo castillo oponente, roba una carta.	Primer Bloque	Espada Sagrada	
Lohengrin	coleccion_racial_2021_caballero	11	11	Aliado	Caballero	2	3	SERGIO QUIJADA	En tu fase de vigilia y una vez por turno, si un Aliado caballero entra en juego puedes buscar un arma en tu mazo castillo y ponerla en tu mano.	Primer Bloque	Espada Sagrada	
Caballeros	coleccion_racial_2021_caballero	12	12	Oro				MYL	Sólo puedes tener un Caballeros en juego. Sólo puede ser jugado desde tu mano. En tu fase de vigilia, puedes pagar esté Oro para barajar un Caballero de tu Cementerio en tu Mazo Castillo.	Primer Bloque	Espada Sagrada	
Dragon de Magma	coleccion_racial_2021_dragon	1	13	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragon de Magma entra en juego, destruye un Aliado oponente.	Primer Bloque	Espada Sagrada	
Dragon Demonio	coleccion_racial_2021_dragon	2	14	Aliado	Dragon	5	0	MAURICIO HERRERA	Dragón Demonio debe atacar cuando entra en juego. No puede ser afectado por Talismanes. Al final de esté turno, destiérralo. Carta única.	Primer Bloque	Espada Sagrada	
Cultistas del Dragon	coleccion_racial_2021_dragon	3	15	Aliado	Dragon	1	2	JUAN VÁSQUEZ	Puedes destruir a Cultista del Dragón, para ver la mano de tu oponente y barajar en su mazo castillo una carta de Aliado de su mano.	Primer Bloque	Espada Sagrada	
Dragon Nube	coleccion_racial_2021_dragon	4	16	Aliado	Dragon	3	4	JUAN VÁSQUEZ	Cuando Dragón Nube entra en juego, puedes elegir entre robar 2 cartas o que tu oponente bote 2.	Primer Bloque	Espada Sagrada	
Org, el Hechicero	coleccion_racial_2021_dragon	5	17	Aliado	Dragon	0	2	MAURICIO HERRERA	En guerra de Talismanes, puedes pagar 2 de oro para que un Aliado oponente tenga fuerza 0 hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon Cobrizo	coleccion_racial_2021_dragon	6	18	Aliado	Dragon	2	3	MAURICIO HERRERA	En tu fase de vigilia, genera 2 oros para bajar Dragones.	Primer Bloque	Espada Sagrada	
Dragon de Plata	coleccion_racial_2021_dragon	7	19	Aliado	Dragon	3	6	WALDO RETAMALES	Mientras Dragón de Plata esté en juego: en tu fase de vigilia, puedes elegir entre pagar 1 de oro para robar 1 carta; pagar 2 de oro para descartar I de tu oponente al azar; o pagar 3 de oro para que tu oponente bote 2 cartas.	Primer Bloque	Espada Sagrada	
Dragon de Luz	coleccion_racial_2021_dragon	8	20	Aliado	Dragon	3	5	MAURICIO HERRERA	Si Dragón de Luz no es declarado atacante, puedes tomar las 3 cartas superiores de tu cementerio y barajarlas con tu mazo castillo.	Primer Bloque	Espada Sagrada	
Dragon de Bronce	coleccion_racial_2021_dragon	9	21	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Bronce sea declarado atacante, debe ser bloqueado por un Aliado oponente a tu elección.	Primer Bloque	Espada Sagrada	
Cria de Wyrm	coleccion_racial_2021_dragon	10	22	Aliado	Dragon	2	3	CARLOS HERRERA	Cuando Cria de Wyrm entra en juego, puedes desterrar un Aliado oponente de coste 3.	Primer Bloque	Espada Sagrada	
Draig Ifanc	coleccion_racial_2021_dragon	11	23	Aliado	Dragon	2	3	JUAN VÁSQUEZ	Cuando Draig Ifanc entra en juego, puedes robar una carta. Si Draig Ifanc es destruido o barajado del juego y sólo controlas Aliados Dragón, puedes buscar un oro en tu Mazo Castillo y ponerlo en juego.	Primer Bloque	Espada Sagrada	
Dragones	coleccion_racial_2021_dragon	12	24	Oro				MYL	Sólo puedes tener un Dragones en juego. Sólo puede ser jugado desde tu mano. En tu Fase de Vigilia, puedes pagar esté Oro para generar 2 Oros para pagar Aliados de raza Dragón de coste 4 o más.	Primer Bloque	Espada Sagrada	
Morgana	coleccion_racial_2021_faerie	1	25	Aliado	Faerie	2	4	MAURICIO HERRERA	Solo puedes tener una Morgana en juego. En tu fase de vigilia y una vez por turno, puedes destruir uno de tus aliados para desterrar un aliado oponente.	Primer Bloque	Espada Sagrada	
Greenknight	coleccion_racial_2021_faerie	2	26	Aliado	Faerie	0	3	JUAN VÁSQUEZ	Gana + I a la fuerza, por cada oro que tengas en juego.	Primer Bloque	Espada Sagrada	
Bruja Anis	coleccion_racial_2021_faerie	3	27	Aliado	Faerie	1	2	ANDRÉS SILVA	En respuesta a finalizar tu turno, y si todos tus aliados son Faeries, roba I carta extra.	Primer Bloque	Espada Sagrada	
El Poeta	coleccion_racial_2021_faerie	4	28	Aliado	Faerie	2	3	GABRIEL RODRÍGUEZ	Cuando entra en juego, nombra una carta para que no pueda ser jugada mientras El Poeta esté en juego.	Primer Bloque	Espada Sagrada	
Mago Merlin	coleccion_racial_2021_faerie	5	29	Aliado	Faerie	3	4	MAURICIO HERRERA	Mientras Mago Merlín esté en juego: en guerra de Talismanes, puedes pagar 3 de oro para buscar un Talismán en tu mazo castillo o cementerio y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Pixie	coleccion_racial_2021_faerie	6	30	Aliado	Faerie	1	2	JUAN VÁSQUEZ	En tu fase de vigilia y sólo si tienes a Morgana en juego, puedes elegir entre robar 3 cartas o buscar 2 en tu cementerio y barajarlas en tu mazo castillo.	Primer Bloque	Espada Sagrada	
Belial el Bestial	coleccion_racial_2021_faerie	7	31	Aliado	Faerie	3	4	MAURICIO HERRERA	Belial, El Bestial, gana + 1 a la fuerza por cada faerie que tengas en juego.	Primer Bloque	Espada Sagrada	
Ettin	coleccion_racial_2021_faerie	8	32	Aliado	Faerie	3	4	ABBAY	En respuesta a que Ettin sea declarado atacante, puedes buscar un Aliado de fuerza 2 en tu mazo castillo y ponerlo en la línea de defensa sin pagar su coste.	Primer Bloque	Espada Sagrada	
Titania	coleccion_racial_2021_faerie	9	33	Aliado	Faerie	1	4	JUAN VÁSQUEZ	Mientras Titania esté en juego, tus demás Faeries ganan + 1 a la fuerza y pueden atacar cuando entran en juego.	Primer Bloque	Espada Sagrada	
Lailoken	coleccion_racial_2021_faerie	10	34	Aliado	Faerie	3	3	CHRISTIAN AGUIRRE	Cuando Lailoken entra en juego, puedes descartar una carta de tu mano para buscar un Talismán de coste 3 o más en tu Mazo Castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Criatura Familiar	coleccion_racial_2021_faerie	11	35	Aliado	Faerie	2	2	JUAN ESTEBAN DEL PINO	En tu Fase de Vigilia, si solo controlas Aliados Faerie, puedes descartar una carta y pagar 2 oros para jugar Criatura Familiar desde tu Cementerio sin pagar su coste.	Primer Bloque	Espada Sagrada	
Faeries	coleccion_racial_2021_faerie	12	36	Oro				MYL	Solo puedes tener un Faeries en juego. Sólo puede ser jugado desde tu mano. Mientras Faeries esté en tu reserva de Oro, tus Aliados Faerie de coste 3 o menos que esten en tu línea de defensa ganan 1 a la fuerza.	Primer Bloque	Espada Sagrada	
Marco Antonio	coleccion_racial_2021_heroe	1	61	Aliado	Heroe	3	2	MAURICIO HERRERA	Única. Tus demás Aliados de raza Héroe ganan I a la fuerza. No se pueden jugar Talismanes.	Primer Bloque	Helenica	
Espartaco	coleccion_racial_2021_heroe	2	62	Aliado	Heroe	2	3	WALDO RETAMALES	En tu Fase de Vigilia, sólo una vez por turno, puedes barajar de tu Cementerio a tu Mazo Castillo tantas cartas como fuerza tenga Espartaco.	Primer Bloque	Helenica	
Julio Cesar	coleccion_racial_2021_heroe	3	63	Aliado	Heroe	2	4	GABRIEL RODRÍGUEZ	Carta Única. Mientras Julio César esté en juego, todos tus demás Aliados ganan 1 a la fuerza y son imbloqueables.	Primer Bloque	Helenica	
Cesar Augusto	coleccion_racial_2021_heroe	4	64	Aliado	Heroe	2	4	ABBAY	En respuesta a que tu oponente baje una carta, puedes subir César Augusto a tu mano para anularla.	Primer Bloque	Helenica	
Temistocles	coleccion_racial_2021_heroe	5	65	Aliado	Heroe	1	3	ANDRÉS SILVA	Cuando Temístocles entra en juego, nombra una carta para que ella y todas sus copias pierdan su habilidad mientras Temístocles permanezca en juego.	Primer Bloque	Helenica	
Constantino	coleccion_racial_2021_heroe	6	66	Aliado	Heroe	1	3	VENUS ASTUDILLO	Mientras Constantino esté en juego, si todos tus Aliados son de Raza Héroe, ganan 2 a la fuerza.	Primer Bloque	Helenica	
Gladiador	coleccion_racial_2021_heroe	7	67	Aliado	Heroe	3	3	JUAN ESTEBAN DEL PINO	Si Gladiador hace daño al Mazo Castillo oponente, puedes robar una carta.	Primer Bloque	Helenica	
Idmon el Adivino	coleccion_racial_2021_heroe	8	68	Aliado	Heroe	1	3	CARLOS HERRERA	En tu Fase de Vigilia, puedes mirar la primera carta de tu Mazo Castillo: si es un Aliado de raza Héroe, puedes ponerlo en juego sin pagar su coste; si la carta no es un Heroe, destrúyela.	Primer Bloque	Helenica	
Hector	coleccion_racial_2021_heroe	9	69	Aliado	Heroe	0	3	ANDRÉS SILVA	Héctor gana I a la fuerza por cada Aliado de raza Héroe que tengas en juego. Y si Aquiles está en juego, no puede recibir modificadores de fuerza.	Primer Bloque	Helenica	
Leonidas	coleccion_racial_2021_heroe	10	70	Aliado	Heroe	2	3	GENZO	Sólo puedes tener un Leonidas en juego Si controlas 2 o más Aliados de raza Héroe, en la Fase Final roba una carta de tu Mazo Castillo.	Primer Bloque	Helenica	
Orion	coleccion_racial_2021_heroe	11	71	Aliado	Heroe	2	2	GENZO	Cuando Orión entra en juego, roba una carta de tu Mazo Castillo.	Primer Bloque	Helenica	
Heroes	coleccion_racial_2021_heroe	12	72	Oro				MYL	Cuando Héroes entra o sale del juego, puedes desterrar una carta del Cementerio oponente.	Primer Bloque	Helenica	
Atenea	coleccion_racial_2021_olimpico	1	37	Aliado	Olimpico	2	3	GABRIEL RODRÍGUEZ	Cuando Atenea entra en juego, elige 4 cartas de tu Cementerio y barajalas con tu Mazo Castillo.	Primer Bloque	Helenica	
Thanatos	coleccion_racial_2021_olimpico	2	38	Aliado	Olimpico	2	5	MAURICIO HERRERA	En tu Fase de Vigilia, sólo una vez por turno, puedes nombrar un Aliado en juego. Todos los Aliados con ese nombre deben ser destruidos. Carta única.	Primer Bloque	Helenica	
El Gran Zeus	coleccion_racial_2021_olimpico	3	39	Aliado	Olimpico	5	5	MAURICIO HERRERA	El Gran Zeus es indestructible. En tu Fase de Vigilia, sólo una vez por turno, puedes robar hasta 2 cartas. Carta única.	Primer Bloque	Helenica	
Helios	coleccion_racial_2021_olimpico	4	40	Aliado	Olimpico	2	5	GABRIEL RODRÍGUEZ	Mientras Helios esté en juego, tus Aliados de raza Olímpico ganan 2 a la fuerza y no pueden ser afectados por Talismanes oponentes.	Primer Bloque	Helenica	
Gaia	coleccion_racial_2021_olimpico	5	41	Aliado	Olimpico	2	4	WALDO RETAMALES	En tu Fase de Vigilia, sólo una vez por turno, puedes buscar un Aliado en tu Mazo Castillo y ponerlo en tu mano.	Primer Bloque	Helenica	
Afrodita	coleccion_racial_2021_olimpico	6	42	Aliado	Olimpico	1	3	MAURICIO HERRERA	En tu Fase de Vigilia, nombra un tipo de carta que no sea Talismán. A continuación, mira la primera carta de tu Mazo Castillo y, si es de ese tipo, ponla en juego sin pagar su coste. Si no lo es, barájala en tu Mazo Castillo	Primer Bloque	Helenica	
Eros	coleccion_racial_2021_olimpico	7	43	Aliado	Olimpico	2	2	ABBAY	Si Eros entra en juego en tu primer turno, puedes buscar 2 oros en tu Mazo Castillo y ponerlos en tu mano.	Primer Bloque	Helenica	
Fenix	coleccion_racial_2021_olimpico	8	44	Aliado	Olimpico	2	2	MAURICIO HERRERA	En tu Fase de Vigilia, si Fénix está en tu Cementerio, puedes pagar su coste y ponerlo en tu Línea de Defensa.	Primer Bloque	Helenica	
Eolo	coleccion_racial_2021_olimpico	9	45	Aliado	Olimpico	1	6	GABRIEL RODRÍGUEZ	Cuando Eolo entra en juego, destruye todas las cartas en juego a excepción de Eolo.	Primer Bloque	Helenica	
Astreo	coleccion_racial_2021_olimpico	10	46	Aliado	Olimpico	2	2	JUAN VÁSQUEZ	Cuando Astreo entra en juego, puedes descartar una carta de tu mano para buscar a un Aliado de raza Olimpico de fuerza 1 o menos en tu Mazo Castillo y ponerlo en tu mano.	Primer Bloque	Helenica	
Heosforo	coleccion_racial_2021_olimpico	11	47	Aliado	Olimpico	2	3	GENZO	Heósforo no puede ser bloqueado por Aliados de fuerza 2 o menos. Una vez por turno, puedes mirar la primera carta de tu Mazo Castillo y elegir ponerla en el fondo o en el tope de tu Mazo Castillo.	Primer Bloque	Helenica	
Olimpicos	coleccion_racial_2021_olimpico	12	48	Oro				MYL	Cuando Olimpicos entra o sale del juego, puedes ver la carta superior de tu Mazo Castillo. Luego, devuelve esta carta al tope de tu Mazo Castillo.	Primer Bloque	Helenica	
Atlante	coleccion_racial_2021_titan	1	49	Aliado	Titan	3	2	WALDO RETAMALES	Cuando Atlante entra en juego, tu oponente debe botar una carta.	Primer Bloque	Helenica	
Prometeo	coleccion_racial_2021_titan	2	50	Aliado	Titan	4	4	WALDO RETAMALES	Prometeo puede atacar el turno que entra en juego. En respuesta a ser declarado atacante, puedes pagar 1 de oro para que sea imbloqueable, hasta el final del turno.	Primer Bloque	Helenica	
Leucrota	coleccion_racial_2021_titan	3	51	Aliado	Titan	4	5	ANDRÉS SILVA	Cuando Leucrota entra en juego, destruye todos los Aliados de fuerza 3 o menos.	Primer Bloque	Helenica	
Epimeteo	coleccion_racial_2021_titan	4	52	Aliado	Titan	2	2	JUAN VÁSQUEZ	Si Epimeteo está en tu Cementerio, puedes pagar 2 de oro para ponerlo en tu mano.	Primer Bloque	Helenica	
Noctumbros	coleccion_racial_2021_titan	5	53	Aliado	Titan	3	1	JUAN ESTEBAN DEL PINO	Noctumbros debe atacar el turno que entra en juego y luego, al final del turno, debe ser desterrado.	Primer Bloque	Helenica	
Rea	coleccion_racial_2021_titan	6	54	Aliado	Titan	4	6	WALDO RETAMALES	En tu Fase de Vigilia, sólo una vez por turno, busca un Aliado de raza Olímpico o raza Titán en tu Zona de Destierro y ponlo en tu Línea de Defensa sin pagar su coste.	Primer Bloque	Helenica	
Cronos	coleccion_racial_2021_titan	7	55	Aliado	Titan	5	5	MAURICIO HERRERA	En tu Fase de Vigilia, puedes pagar 4 de oro para destruir un Aliado oponente. En respuesta a finalizar tu turno, puedes agrupar tus cartas. Carta única.	Primer Bloque	Helenica	
Helenica	coleccion_racial_2021_titan	8	56	Aliado	Titan	1	1	MYL	En respuesta a que un oponente juegue un Aliado, puedes pagar su coste para anularlo.	Primer Bloque	Helenica	
Tifon	coleccion_racial_2021_titan	9	57	Aliado	Titan	5	3	DREG	En respuesta a que Tifón sea declarado atacante o bloqueador, al final del turno barájalo en tu Mazo Castillo.	Primer Bloque	Helenica	
Crio	coleccion_racial_2021_titan	10	58	Aliado	Titan	2	3	WALDO RETAMALES	Cuando un Aliado de raza Titán entre en juego, una vez por turno, puedes desterrar la carta superior de tu Mazo Castillo para que ese Aliado pueda ser declarado atacante esté turno.	Primer Bloque	Helenica	
Temis	coleccion_racial_2021_titan	11	59	Aliado	Titan	2	2	JUAN ESTEBAN DEL PINO	Cuando Temis entra en juego, puedes descartar una carta de tu mano para buscar un Aliado de raza Titan de coste 3 o más en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Helenica	
Titanes	coleccion_racial_2021_titan	12	60	Oro				MYL	Sólo puedes tener un Titanes en juego. Si Titanes está en tu reserva de Oro, puedes desterrarlo para que un Aliado oponente de fuerza 3 o más tenga fuerza 0 hasta la fase final.	Primer Bloque	Helenica	
Fergus	coleccion_racial_2021_defensor	1	1	Aliado	Defensor	1	2	MAURICIO HERRERA	En tu Fase de Vigilia y una vez por turno, destruye el Aliado oponente de mayor fuerza.	Primer Bloque	Hijos de Daana	
Pryderi	coleccion_racial_2021_defensor	2	2	Aliado	Defensor	3	3	WALDO RETAMALES	Pryderi puede ser declarado Atacante en el turno en que entra en juego. Cuando Pryderi entra en juego, tu oponente debe botar 3 cartas.	Primer Bloque	Hijos de Daana	
Kenneth I	coleccion_racial_2021_defensor	3	3	Aliado	Defensor	1	2	MAURICIO HERRERA	Puedes desterrar a Kenneth I para anular la habilidad de una carta y todas sus copias, hasta la Fase Final.	Primer Bloque	Hijos de Daana	
Fergus Mor MacEric	coleccion_racial_2021_defensor	4	4	Aliado	Defensor	2	3	GENZO	Mientras Fergus Mor MacEric esté en juego, tus demás Aliados de Raza Defensor son Imbloqueables y pueden atacar en el turno que entran en juego.	Primer Bloque	Hijos de Daana	
Mathgen el Mago	coleccion_racial_2021_defensor	5	5	Aliado	Defensor	2	4	WALDO RETAMALES	Cuando Mathgen el Mago entra en juego, puedes tomar un Totem oponente y ponerlo en tu Línea de Apoyo permanentemente.	Primer Bloque	Hijos de Daana	
Aedan MacGabrain	coleccion_racial_2021_defensor	6	6	Aliado	Defensor	3	4	GABRIEL RODRÍGUEZ	Mientras Aedan MacGabrain esté en juego, tus demás Aliados de Raza Defensor ganan 2 a la fuerza.	Primer Bloque	Hijos de Daana	
Aed Finn	coleccion_racial_2021_defensor	7	7	Aliado	Defensor	3	2	GABRIEL RODRÍGUEZ	En tu Fase Final puedes agrupar a Aed Finn.	Primer Bloque	Hijos de Daana	
Dianan y Bechulle	coleccion_racial_2021_defensor	8	8	Aliado	Defensor	2	2	MAURICIO HERRERA	Dianan y Bechulle gana 1 a la fuerza por cada Dianan y Bechulle en juego.	Primer Bloque	Hijos de Daana	
Bran	coleccion_racial_2021_defensor	9	9	Aliado	Defensor	3	4	PABLO SANTANDER	En respuesta a un ataque oponente, sube a Bran a tu Mano para cancelarlo y descarta al azar una carta de la Mano de tu oponente. Carta Única.	Primer Bloque	Hijos de Daana	
Slaine	coleccion_racial_2021_defensor	10	10	Aliado	Defensor	3	3	GENZO	Slame puede ser declarado Atacante en el turno en que entra en juego. Si Slaine es destruido, tu oponente destruye su Aliado de mayor fuerza.	Primer Bloque	Hijos de Daana	
Diarmuid	coleccion_racial_2021_defensor	11	11	Aliado	Defensor	2	4	NITROX	Cuando Diarmuid entra en juego, puedes jugar un Aliado de Raza Defensor de coste 2 o menos desde tu Cementerio sin pagar su coste.	Primer Bloque	Hijos de Daana	
Defensores Celtas	coleccion_racial_2021_defensor	12	12	Oro				MYL	Cuando Defensores Celtas entra o sale del juego, el próximo Aliado de Raza Defensor que juegues esté turno es Imbloqueable y puede atacar al entrar en juego.	Primer Bloque	Hijos de Daana	
Tuatha de Danaan	coleccion_racial_2021_desafiante	1	13	Aliado	Desafiante	2	2	MYL	En tu Fase de Vigilia, puedes subir a Tuatha de Danaan a tu Mano para robar 2 cartas. Carta Única.	Primer Bloque	Hijos de Daana	
Lugh	coleccion_racial_2021_desafiante	2	14	Aliado	Desafiante	4	4	MAURICIO HERRERA	Cuando Lugh entra en juego, puedes poner todas las cartas del Cementerio de tu oponente en su Zona de Destierro. Carta Única.	Primer Bloque	Hijos de Daana	
MacDa Tho	coleccion_racial_2021_desafiante	3	15	Aliado	Desafiante	2	3	MAURICIO HERRERA	MacDa Tho es Indestructible e Indesterrable. Mientras esté en tu Línea de Defensa, cada Aliado atacante que no sea bloqueado, tiene I de fuerza. Carta Única.	Primer Bloque	Hijos de Daana	
Donn	coleccion_racial_2021_desafiante	4	16	Aliado	Desafiante	0	3	CAROLINA EADE	Donn tiene fuerza igual al número de Talismanes que haya en tu Cementerio.	Primer Bloque	Hijos de Daana	
Ashrays	coleccion_racial_2021_desafiante	5	17	Aliado	Desafiante	3	1	MAURICIO HERRERA	Para que Ashrays pueda ser declarado Atacante, debes botar 2 cartas de tu Mazo Castillo.	Primer Bloque	Hijos de Daana	
Tutatis	coleccion_racial_2021_desafiante	6	18	Aliado	Desafiante	4	1	MAURICIO HERRERA	No puedes bajar a Tutatis si no tienes más de un Aliado en juego. Si Tutatis es declarado atacante, todos tus Aliados deben ser declarados atacantes.	Primer Bloque	Hijos de Daana	
Boobrie	coleccion_racial_2021_desafiante	7	19	Aliado	Desafiante	3	2	GENZO	En respuesta a que tu oponente declare ataque. si Boobrie está en tu Cementerio, puedes pagar 2 Oros para ponerlo en tu Línea de Defensa sin pagar su coste y declararlo como un Aliado bloqueador. En la Fase Final debe ser destruido.	Primer Bloque	Hijos de Daana	
Macha	coleccion_racial_2021_desafiante	8	20	Aliado	Desafiante	3	4	GABRIEL RODRÍGUEZ	Mientras Macha esté en juego, todos los Aliados en juego pierden sus modificadores de fuerza y son Indestructibles.	Primer Bloque	Hijos de Daana	
Epona	coleccion_racial_2021_desafiante	9	21	Aliado	Desafiante	2	2	WALDO RETAMALES	Si Epona es destruida nombra una carta de Oro para que todas sus copias en juego sean subidas a la Mano.Si Epona es destruida nombra una carta de Oro para que todas sus copias en juego sean subidas a la Mano.	Primer Bloque	Hijos de Daana	
Rhiannon	coleccion_racial_2021_desafiante	10	22	Aliado	Desafiante	2	2	WALDO RETAMALES	Cuando Rhiannon entra en juego, puedes mostrar las 3 primeras cartas de tu Mazo: elige una carta que no sea Aliado; o todos los Aliados de Raza Desafiante, y ponlas en tu mano. Luego, envía las cartas no escogidas a tu Cementerio.	Primer Bloque	Hijos de Daana	
Aine	coleccion_racial_2021_desafiante	11	23	Aliado	Desafiante	3	3	JUAN VÁSQUEZ	Cuando Aine entra en juego, puedes mostrar un Aliado de Raza Desafiante de tu Mano para desterrar un Aliado oponente.	Primer Bloque	Hijos de Daana	
Linaje Celta	coleccion_racial_2021_desafiante	12	24	Oro				MYL	El turno que Linaje Celta entra en juego, el próximo Aliado de Raza Desafiante que juegues no puede ser anulado. En tu Vigilia, puedes destruir a Linaje Celta desde tu Reserva para buscar un Aliado de Raza Desafiante en tu Cementerio y ponerlo en tu Mano.	Primer Bloque	Hijos de Daana	
Apophis	coleccion_racial_2021_eterno	1	37	Aliado	Eterno	4	5	MAURICIO HERRERA	Mientras Apophis esté en juego, todos los demás Aliados pierden su Habilidad. Cada vez que tu oponente juegue una carta que no sea Oro, debe Botar 3 cartas de su Mazo Castillo. Carta Única.	Primer Bloque	Dominios de Ra	
Isis	coleccion_racial_2021_eterno	2	38	Aliado	Eterno	2	3	GENZO	En tu Fase de Vigilia, sólo una vez por tirno, puedes desterrar las 3 cartas superiores de tu Mazo Castillo para buscar una carta en tu Mazo Castillo y ponerla en tu Mano.	Primer Bloque	Dominios de Ra	
Ptah	coleccion_racial_2021_eterno	3	39	Aliado	Eterno	4	2	GABRIEL RODRÍGUEZ	Ptah no puede ser declarado atacante. Cuando entra en juego, tu oponente elige 6 cartas de tu Cementerio y las barajas en tu Mazo Castillo.	Primer Bloque	Dominios de Ra	
Nut	coleccion_racial_2021_eterno	4	40	Aliado	Eterno	2	2	WALDO RETAMALES	Si Nut está en tu Línea de Defensa o en tu Línea de Ataque puedes barajarlo en tu Mazo Castillo para buscar un Aliado de Raza Eterno o Sacerdote y ponerlo en tu Mano.	Primer Bloque	Dominios de Ra	
Anubis	coleccion_racial_2021_eterno	5	41	Aliado	Eterno	1	3	MAURICIO HERRERA	Puedes destruir a Anubis para elegir un Aliado oponente. Ese Aliado pierde su habilidad y es destruido.	Primer Bloque	Dominios de Ra	
Ra	coleccion_racial_2021_eterno	6	42	Aliado	Eterno	4	5	MAURICIO HERRERA	Mientras Ra esté en juego, en tu Fase de Vigilia, sólo una vez por turno, puedes pagar 3 Oros para que tu oponente bote 5 cartas de su Mazo Castillo. En respuesta a que Ra sea destruido o desterrado, puedes descartar una carta para prevenirlo. Carta Única.	Primer Bloque	Dominios de Ra	
Ihy	coleccion_racial_2021_eterno	7	43	Aliado	Eterno	1	3	ABBAY	Cuando Ihy entra en juego, puedes buscar 3 cartas en tu Mazo Castillo y ponerlas en la parte superior.	Primer Bloque	Dominios de Ra	
Seshat	coleccion_racial_2021_eterno	8	44	Aliado	Eterno	2	4	ANDRÉS SILVA	Cuando Seshat entra en juego, puedes buscar un Arma en tu Mazo Castillo o Cementerio y ponerlo en juego sin pagar su coste. Mientras esta Arma esté en juego, Seshat no puede salir del juego.	Primer Bloque	Dominios de Ra	
Selkis	coleccion_racial_2021_eterno	9	45	Aliado	Eterno	3	2	MAURICIO HERRERA	Mientras Selkis esté en tu Línea de Defensa. los Aliados en juego no pueden aumentar su fuerza. En su Fase de Vigilia, tu oponente puede pagar 2 Oros para poner a Selkis en tu Línea de Ataque.	Primer Bloque	Dominios de Ra	
Imentet	coleccion_racial_2021_eterno	10	46	Aliado	Eterno	2	2	PABLO SANTANDER	Cuando Imentet entra en juego y si sólo controlas Aliados de Raza Eterno, puedes elegir una carta en juego que no sea Oro, para que esta y todas sus copias pierdan su habilidad mientras Imentet esté en juego.	Primer Bloque	Dominios de Ra	
Anhur	coleccion_racial_2021_eterno	11	47	Aliado	Eterno	2	4	ALDO DELSO ILLANES	Sólo puedes tener un Anhur en juego. En tu Vigilia y una vez por turno, puedes desterrar una carta de tu Mano para robar una carta. Si la carta desterrada es un Aliado de Raza Eterno puedes robar 2 cartas adicionales.	Primer Bloque	Dominios de Ra	
